Map Container Profile (unit:ms)
TaskName,TaskID,Initailization,Input,SQLoperator,Sink,Spill,Starting Time,Ending Time,Cost Time,Node Locate
Map 17,attempt_1606874353529_0225_1_02_000008_0,23.4371,57302.3,11072.8,3483.18,6775,72983,151641,78658,20
Map 10,attempt_1606874353529_0225_1_00_000034_0,175.55,3219.15,5493.35,1926.12,3167.05,803,14799,13996,20
Map 17,attempt_1606874353529_0225_1_02_000018_0,26.2386,41911.1,6351.66,3001,5378.91,74963,131633,56670,20
Map 17,attempt_1606874353529_0225_1_02_000024_0,20.1921,4441.1,5399.58,3806.78,6091.04,54634,74394,19760,20
Map 10,attempt_1606874353529_0225_1_00_000049_0,84.7534,23252.7,5519.31,1184.26,2226.05,13839,46107,32268,20
Map 10,attempt_1606874353529_0225_1_00_000039_0,223.061,3408.13,4683.94,1833.12,2691.91,827,13678,12851,20
Map 1,attempt_1606874353529_0225_1_01_000044_0,24.3218,4797.82,2199.48,243.644,1032.73,46222,54521,8299,20
Map 17,attempt_1606874353529_0225_1_02_000013_0,20.8913,47862.9,7135.01,2817.42,5856.63,73293,136987,63694,20
Map 17,attempt_1606874353529_0225_1_02_000019_0,21.3351,4206.95,5437.85,3525.84,6948.31,52583,72724,20141,20
Map 1,attempt_1606874353529_0225_1_01_000034_0,15.2667,5652.37,2194.42,236.727,848.474,43521,52469,8948,20
Map 10,attempt_1606874353529_0225_1_00_000024_0,208.875,3626.34,4629.17,1843.21,3321.21,977,14615,13638,20
Map 10,attempt_1606874353529_0225_1_00_000035_0,28.02,20147.8,4814.29,1177.39,2026.48,15211,43407,28196,20
Map 10,attempt_1606874353529_0225_1_00_000029_0,239.411,3451.73,5117.55,1894.6,3297.8,837,14855,14018,20
Map 10,attempt_1606874353529_0225_1_00_000040_0,40.2903,31533.8,4574.62,1140.8,1867.5,15452,54609,39157,20
Map 17,attempt_1606874353529_0225_1_02_000022_0,22.3322,44054.4,7369.39,3180.98,6106.24,75875,136609,60734,20
Map 17,attempt_1606874353529_0225_1_02_000029_0,16.6705,5602.61,6311.27,3291.4,5457.99,54623,75304,20681,20



Reduce Container Profile (unit:ms)
TaskName,TaskID,Initailization,Shuffle&Merge,SQLoperator,Sink,Output,Starting Time,Ending Time,Cost Time,Node Locate
Reducer 19,attempt_1606874353529_0225_1_16_000019_0,16.7796,1044.76,6469.14,86.4346,32.9914,300341,307991,7650,20
Reducer 23,attempt_1606874353529_0225_1_11_000090_0,14.9751,58.7887,97.5314,1.90495,25.4147,337389,337588,199,20
Reducer 18,attempt_1606874353529_0225_1_05_000031_0,19.6734,3244.21,9508.72,292.44,355.891,161420,174842,13422,20
Reducer 11,attempt_1606874353529_0225_1_06_000008_0,17.9036,727.047,9776.92,398.371,1455.06,190286,202662,12376,20
Reducer 22,attempt_1606874353529_0225_1_10_000036_0,13.1163,568.411,7042.08,117.564,36.4307,266971,274749,7778,20
Reducer 23,attempt_1606874353529_0225_1_11_000052_0,16.2102,104.637,52.3879,1.68056,18.4825,336855,337048,193,20
Reducer 16,attempt_1606874353529_0225_1_15_000048_0,10.1628,141.809,57.4105,1.96877,18.5846,338544,338775,231,20
Reducer 19,attempt_1606874353529_0225_1_16_000053_0,16.5438,400.933,6242.27,148.787,41.9531,308000,314852,6852,20
Reducer 16,attempt_1606874353529_0225_1_15_000029_0,29.6623,65.9448,105.12,2.67368,22.7189,338311,338538,227,20
Reducer 13,attempt_1606874353529_0225_1_19_000036_0,17.8453,87.9354,56.4206,2.06375,20.6149,340331,340516,185,20
Reducer 23,attempt_1606874353529_0225_1_11_000028_0,18.3762,83.9488,71.8848,2.24169,26.615,336429,336632,203,20
Reducer 23,attempt_1606874353529_0225_1_11_000079_0,15.3869,73.0663,56.3336,1.9064,19.9109,337216,337383,167,20
Reducer 14,attempt_1606874353529_0225_1_04_000030_0,25.2969,1268.99,6375.77,488.438,471.956,144873,153505,8632,20
Reducer 13,attempt_1606874353529_0225_1_19_000060_0,12.4601,72.1822,77.5176,2.87221,32.5298,340520,340718,198,20
Reducer 18,attempt_1606874353529_0225_1_05_000005_0,17.6181,883.156,6070.36,377.978,526.097,153525,161401,7876,20
Reducer 3,attempt_1606874353529_0225_1_21_000004_0,18.2068,279.143,4764.25,88.5606,37.2019,328898,334086,5188,20
Reducer 23,attempt_1606874353529_0225_1_11_000001_0,35.5265,45.9504,75.4949,2.1653,28.1195,334355,334543,188,20
Reducer 20,attempt_1606874353529_0225_1_17_000049_0,14.572,281.167,48.8956,1.70197,22.6979,339370,339739,369,20
Reducer 7,attempt_1606874353529_0225_1_08_000020_0,14.1755,959.367,5559.07,220.077,195.217,243026,249974,6948,20
Reducer 15,attempt_1606874353529_0225_1_14_000060_0,29.3993,256.44,4300.39,79.4496,32.9233,295631,300330,4699,20
Reducer 9,attempt_1606874353529_0225_1_13_000009_0,57.2996,134.499,250.463,3.53269,34.1992,337617,338097,480,20
Reducer 16,attempt_1606874353529_0225_1_15_000071_0,11.4743,77.1798,69.5771,1.99485,19.5249,338779,338960,181,20
Reducer 23,attempt_1606874353529_0225_1_11_000040_0,58.8383,72.558,49.7082,1.62218,21.1876,336642,336847,205,20
Reducer 21,attempt_1606874353529_0225_1_07_000071_0,21.4984,1312.05,8895.75,510.317,553.82,231714,243008,11294,20
Reducer 16,attempt_1606874353529_0225_1_15_000012_0,13.5133,100.87,62.7163,2.65436,18.6569,338104,338303,199,20
Reducer 19,attempt_1606874353529_0225_1_16_000082_0,80.8731,493.53,7168.21,76.1955,28.9091,314871,322722,7851,20
Reducer 5,attempt_1606874353529_0225_1_23_000053_0,20.3239,244.834,350.396,1.25173,3.55634,342792,343413,621,20
Reducer 20,attempt_1606874353529_0225_1_17_000015_0,17.7525,281.772,73.3651,2.56517,21.8987,338965,339363,398,20
Reducer 8,attempt_1606874353529_0225_1_12_000020_0,41.6593,1830.49,5049.16,87.9519,34.487,282380,289425,7045,20
Reducer 13,attempt_1606874353529_0225_1_19_000018_0,11.091,72.7449,54.5702,1.71662,17.8451,340166,340324,158,20
Reducer 11,attempt_1606874353529_0225_1_06_000020_0,44.5303,654.801,2598.46,139.091,148.075,202674,206259,3585,20
Reducer 2,attempt_1606874353529_0225_1_20_000008_0,26.1533,2346.86,6371.13,376.198,354.166,249987,259462,9475,20
Reducer 22,attempt_1606874353529_0225_1_10_000071_0,12.6649,500.209,6907.9,138.016,51.2735,274760,282370,7610,20
Reducer 23,attempt_1606874353529_0225_1_11_000002_0,23.4492,96.8602,1448.73,2.46875,19.9288,334560,336152,1592,20
Reducer 23,attempt_1606874353529_0225_1_11_000000_0,17.1095,47.5937,135.709,6.39238,29.9221,334108,334345,237,20
Reducer 5,attempt_1606874353529_0225_1_23_000088_0,19.0934,49.1038,786.346,0.745046,3.5395,343840,344699,859,20
Reducer 21,attempt_1606874353529_0225_1_07_000012_0,19.1665,2443.36,7854.29,683.029,901.141,206279,218181,11902,20
Reducer 5,attempt_1606874353529_0225_1_23_000067_0,13.468,115.619,272.357,0.913369,2.49381,343419,343824,405,20
Reducer 15,attempt_1606874353529_0225_1_14_000025_0,30.002,266.864,5778.76,76.3466,27.3093,289439,295620,6181,20
Reducer 21,attempt_1606874353529_0225_1_07_000039_0,19.5521,1347.89,11172.6,566.954,407.78,218190,231705,13515,20
Reducer 22,attempt_1606874353529_0225_1_10_000007_0,16.1348,301.727,6985.44,134.335,50.2558,259473,266961,7488,20
Reducer 18,attempt_1606874353529_0225_1_05_000062_0,15.651,1297.28,13281.3,399.006,430.086,174850,190274,15424,20
Reducer 5,attempt_1606874353529_0225_1_23_000018_0,41.56,888.019,689.282,11.6994,4.735,341146,342785,1639,20
Reducer 13,attempt_1606874353529_0225_1_19_000008_0,20.4083,81.1696,52.0276,2.0326,18.2844,339986,340160,174,20
Reducer 12,attempt_1606874353529_0225_1_18_000037_0,18.0747,117.137,5822.84,149.451,27.4922,322743,328878,6135,20
Reducer 5,attempt_1606874353529_0225_1_23_000122_0,87.1704,390.333,460.633,1.20982,3.86435,344707,345650,943,20
Reducer 23,attempt_1606874353529_0225_1_11_000018_0,41.1996,135.736,62.7025,2.18119,16.6111,336161,336420,259,20
Reducer 23,attempt_1606874353529_0225_1_11_000066_0,12.3845,51.4946,66.5878,2.565,17.5935,337057,337208,151,20
Reducer 20,attempt_1606874353529_0225_1_17_000079_0,11.2845,154.13,49.6621,1.6514,16.6757,339746,339980,234,20
Reducer 14,attempt_1606874353529_0225_1_04_000001_0,17.9311,1072.97,8739.81,522.921,350.709,134152,144858,10706,20
